language_code
af
sq
eu
be
bs
bg
ca
ceb
ny
co
hr
cs
da
nl
en
eo
et
tl
fi
fr
fy
gl
de
el
ht
hu
is
id
ga
it
ja
jw
kk
rw
ko
ku
ky
lv
lt
lb
mk
mg
ms
mt
mi
mn
no
pl
pt
ro
sm
gd
sr
sk
sl
so
es
sw
sv
tr
uk
uz
cy
xh
zu
